Latitude,Longitude,Nama_Unit,Kode_Unit,Alamat,Dokter_Spesialis,Dokter_Umum,Dokter_Gigi,Perawat,Bidan,Farmasi,Nakes_Lainnya,Tenaga_Pendukung,Provinsi
-8.238883,111.703735,SLAWE,P3503030102,"Jl. Raya Prigi, Ds. Slawe, Kec. Watulimo 66382",0,2,1,17,11,2,8,9,JAWA TIMUR
-8.272633,111.715584,WATULIMO,P3503030101,"Ds. Prigi, Kec. Watulimo 66382",0,2,1,16,10,5,18,10,JAWA TIMUR
-8.3031,111.580147,MUNJUNGAN,P3503020101,"Ds. Munjungan, Kec. Munjungan 66365",0,3,0,22,17,2,16,12,JAWA TIMUR
-8.2167,111.457001,BODAG,P3503010102,"Ds. Bodag, Kec. Panggul 66364",0,2,0,17,12,2,12,8,JAWA TIMUR
-8.249067,111.453346,PANGGUL,P3503010101,"Ds. Wonocoyo, Kec. Panggul 66364",0,2,2,22,15,6,16,10,JAWA TIMUR
-7.795676,111.614182,NGEBEL,P3502200101,"Jl. Telaga Ngebel No.7, Kec. Ngebel",0,1,1,13,8,2,3,11,JAWA TIMUR
-7.858844,111.492798,SETONO,P3502190202,"Jl. Niken Gandini No.103, Setono, Kec. Jenangan",0,1,0,6,9,0,4,8,JAWA TIMUR
-7.791584,111.44841,SUKOSARI,P3502180202,"Jl. Gunung Wilis No.30, Sukasari, Kec. Babadan",0,1,0,9,9,2,7,11,JAWA TIMUR
-7.811748,111.504013,BABADAN,P3502180101,"Jl. Raya Ponorogo - Madiun No.06, Kec. Babadan",0,2,1,18,10,2,9,9,JAWA TIMUR
-7.872705,111.478241,PONOROGO SELATAN,P3502170202,"Jl. Pacar No.28, Kec. Ponorogo",0,1,0,6,11,2,5,10,JAWA TIMUR
-7.868398,111.472557,PONOROGO UTARA,P3502170201,"Jl. Pahlawan No.30, Kec. Ponorogo",0,1,1,7,12,2,6,20,JAWA TIMUR
-7.831964,111.41246,SUKOREJO,P3502160201,"Jl. Hayam Wuruk No.1, Kec. Sukorejo",0,1,1,12,19,4,7,6,JAWA TIMUR
-7.847333,111.351692,KUNTI,P3502150202,"Jl. Raya Pasar Kunti No.21, Kunti, Kec. Sampung",0,1,0,8,6,0,3,5,JAWA TIMUR
-7.80098,111.364372,SAMPUNG,P3502150101,"Jl. Raya Sampung No.53, Kec. Sampung",0,2,0,9,8,2,7,11,JAWA TIMUR
-7.873138,111.331482,BADEGAN,P3502140101,"Jl. Raya Ponorogo - Solo No.123b, Kec. Badegan",0,2,0,16,12,2,3,10,JAWA TIMUR
-7.907082,111.368858,JAMBON,P3502130101,"Jl. Merdeka No.1, Kec. Jambon",0,2,1,14,15,2,7,6,JAWA TIMUR
-7.867221,111.461517,KAUMAN,P3502120101,"Jl. Diponegoro, Kec. Kauman",0,1,1,20,14,2,11,18,JAWA TIMUR
-7.953943,111.395699,BALONG,P3502110101,"Jl. Pemuda No. 4a, Kec. Balong",0,2,1,19,24,2,6,10,JAWA TIMUR
-7.926884,111.47126,JETIS,P3502100101,"Jl. Jend.Sudirman No.51, Kec. Jetis",0,2,1,18,17,2,6,11,JAWA TIMUR
-7.870152,111.508492,RONOWIJAYAN,P3502090202,"Jl. Budi Utomo No.06, Ronowijayan, Kec. Siman",0,1,1,10,7,2,5,5,JAWA TIMUR
-7.885737,111.49987,SIMAN,P3502090201,"Jl. Raya Siman No.48, Kec. Siman",0,1,1,11,11,2,3,9,JAWA TIMUR
-7.921406,111.514938,MLARAK,P3502080201,"Jl. Raya Mlarak, Kec. Mlarak",0,1,0,16,16,3,5,8,JAWA TIMUR
-7.84441,111.613503,KESUGIHAN,P3502070202,"Jl. Raya Kesugihan - Jenangan No.3, Kec. Pulung",0,1,0,9,9,0,3,9,JAWA TIMUR
-7.873037,111.659943,PULUNG,P3502070101,"Jl. Dr. Sutomo No.33, Kec. Pulung",0,2,0,17,14,2,5,8,JAWA TIMUR
-7.869062,111.681335,PUDAK,P3502061101,"Jl. Pudak - Pulung No.1, Kec. Pudak",0,1,1,9,6,0,2,5,JAWA TIMUR
-7.908766,111.642464,SOOKO,P3502060101,"Jl. Sooko - Pulung No.1, Kec. Sooko",0,1,0,12,7,2,3,6,JAWA TIMUR
-7.940377,111.539223,BONDRANG,P3502050202,"Ds. Bondrang, Kec. Sawoo",0,1,0,8,5,2,2,1,JAWA TIMUR
-7.974392,111.572571,SAWOO,P3502050101,"Jl. Sunan Kumbul No.84, Kec. Sawoo",0,1,1,18,14,3,5,8,JAWA TIMUR
-8.002768,111.49733,WRINGINANOM,P3502040202,"Jl. Gajah Mada No.1, Wringin Anom, Kec. Sambit",0,1,0,9,9,0,2,8,JAWA TIMUR
-7.961001,111.52063,SAMBIT,P3502040101,"Jl. A.R.Hakim No.11, Tamansari, Kec. Sambit",0,1,1,8,9,2,7,7,JAWA TIMUR
-7.974782,111.452362,BUNGKAL,P3502030101,"Jl. Pemuda No.53, Kec. Bungkal",0,1,0,19,20,2,5,7,JAWA TIMUR
-8.075854,111.420486,SLAHUNG,P3502020101,"Jl. Jawa No.2, Kec. Slahung",0,1,1,21,12,2,7,7,JAWA TIMUR
-8.104534,111.450752,NGRAYUN,P3502010101,"Jl. Raya Ngrayun No.40, Kec. Ngrayun",0,3,1,20,12,2,5,6,JAWA TIMUR
-8.2515,111.383469,SUKOREJO,P3501120202,"Jl. Raya Sukorejo No.07 Ds. Sumberejo, Kec. Sudimoro",0,1,0,11,7,2,9,3,JAWA TIMUR
-8.15225,111.350555,WONOKARTO,P3501110202,"Ds. Wonokarta, Kec. Ngadirojo",0,1,0,9,10,2,7,4,JAWA TIMUR
-8.201611,111.332275,NGADIROJO,P3501110101,"Ds, Cokrokembang, Kec. Ngadirojo",0,2,1,27,13,4,12,10,JAWA TIMUR
-8.150389,111.265137,BUBAKAN,P3501100202,"Jl. Raya Tulakan Ds. Tegalombo, Kec. Tulakan",0,1,0,9,9,2,5,6,JAWA TIMUR
-8.038056,111.355247,GEMAHARJO,P3501090102,"Jl. Raya Pacitan Ponorogo Km 46, Kec. Tegalombo",0,2,1,16,8,2,12,10,JAWA TIMUR
