Latitude,Longitude,Nama_Unit,Kode_Unit,Alamat,Dokter_Spesialis,Dokter_Umum,Dokter_Gigi,Perawat,Bidan,Farmasi,Nakes_Lainnya,Tenaga_Pendukung,Provinsi
2.544004,97.83519,LONGKIB,P1175050201,"Jl. Darul  Aman, Kec. Longkip",0,0,0,20,16,2,4,40,ACEH
2.661822,97.843056,RUNDING,P1175030201,"Jl. Runding, Kec. Rundeng",0,1,0,21,39,4,9,46,ACEH
2.61824,98.026855,PENANGGALAN,P1175020101,"Jl. T. Umar No.196, Kec. Penanggalan",0,4,2,36,33,8,11,55,ACEH
2.645471,98.01384,SIMPANG KIRI,P1175010201,"Jl. Hamzah Fansyuri, Kec. Simpang Kiri",0,2,1,37,43,5,13,51,ACEH
4.846047,97.851158,MON GEUDONG,P1174030202,"Jl. Pase Lr. 2  Ds. Mon Geudong, Kec. Banda Sakti",0,2,2,42,29,10,8,5,ACEH
5.199146,97.124245,BANDA SAKTI,P1174030201,"Jl. Teratai Putih Ds. Banda Sakti, Kec. Banda Sakti",0,7,2,36,36,12,42,6,ACEH
5.195703,97.077057,MUARA SATU,P1174021201,Jl. Medan-Banda Aceh Blang Pulo Kec. Muara Satu,0,2,1,20,11,2,16,11,ACEH
5.137589,97.162086,BLANG CUT,P1174010202,"Jl. Mesjid Meraksa Ds. Blang Cut, Kec. Blang Mangat",0,2,0,20,12,4,15,1,ACEH
5.102941,97.139198,BLANG MANGAT,P1174010201,"Jl Panglima Adid No. 1 Ds. Blang Mangat, Kec. Blang Mangat",0,2,0,3,11,2,13,1,ACEH
4.493973,97.991226,UPT LANGSA KOTA,P1173030101,"Jl. H.Agus Salim No.10 Ds. Sungai Pauh, Kec. Langsa Kota",0,8,2,63,64,14,23,6,ACEH
4.475726,97.950233,UPT LANGSA BARO,P1173021201,"Jl. Lilawangsa No.1 Ds. Paya Bujok Tunong, Kec. Langsa Baro",0,8,2,40,43,12,25,10,ACEH
4.521869,97.970825,UPT PUSKESMAS SEURIGET,P1173020201,"Jl. Prof. Masjid Ibrahim Ds. Birem Puntung, Kec. Langsa Barat",0,4,1,34,39,4,16,2,ACEH
4.448046,97.973541,UPT LANGSA LAMA,P1173011201,"Jl. Kampus UNSAM Ds. Meurandeh Dayah, Kec. Langsa Lama",0,4,1,36,30,12,20,4,ACEH
4.455607,98.01754,UPT LANGSA TIMUR,P1173010101,"Jl. Langsa - Medan Ds. Sukarejo, Kec. Langsa Timur",0,5,1,51,46,8,22,10,ACEH
5.829912,95.294609,PRIA LAOT,P1172020203,"Jl. Ibioh Kel. Batee Shok, Kec. Sukakarya",0,1,1,10,3,2,7,3,ACEH
5.874808,95.240395,IBOIH,P1172020102,"Jl. Gapang Ibioh, Kec. Sukakarya",0,1,0,10,8,2,8,6,ACEH
5.845792,95.315071,SUKAKARYA,P1172020101,"Jl. Sabang-Iboih Paya Seunara, Kec. Sukakarya",0,2,1,29,16,4,11,9,ACEH
5.876219,95.336433,COT BA\'U,P1172010203,"Jl. Bay Pass Kel. Cot Ba'u, Kec. Sukajaya",0,2,1,15,6,4,9,3,ACEH
5.804599,95.330887,JABOI,P1172010102,"Jl. Jaboi, Kel. Jaboi, Kec. Sukajaya",0,1,0,26,8,2,8,6,ACEH
5.512106,95.846298,SUKAJAYA,P1172010101,"Jl. Sabang Balohan, Kec. Sukajaya",0,3,1,36,10,4,15,5,ACEH
5.548089,95.357582,ULEE KARENG,P1171041201,"Jl. Jurong Dagang Ds. Ceurih, Kec. Ulee Kareng",0,3,1,12,27,6,16,2,ACEH
5.577014,95.344666,JEULINGKE,P1171040202,"Jl. Batee Timoh Jeulingke, Kec. Syiah Kuala",0,4,0,8,18,2,8,1,ACEH
5.571891,95.3685,KOPELMA DARUSSALAM,P1171040201,"Jl. Inong Balee No.38 Kopelma Darussalam, Kec. Syiah Kuala",0,2,1,14,13,0,19,2,ACEH
5.557292,95.310661,LAMPASEH KOTA,P1171031201,"Jl.  Rama Setia Lr. Syahmidin Lampaseh Kota, Kec. Kuta Raja",0,3,1,8,21,4,11,2,ACEH
5.579108,95.322571,LAMPULO,P1171030202,"Jl. Buah Delima Komplek Perikanan Lampulo, Kec. Kuta Alam",0,3,1,2,11,2,7,1,ACEH
5.55518,95.326263,KUTA ALAM,P1171030201,"Jl. Twk. Hasyim Banta Muda No.11 Kel. Mulia, Kec. Kuta Alam",0,2,2,14,14,4,24,1,ACEH
5.536739,95.329933,BATOH,P1171021201,"Jl. Kampus Unmuha Ds Batoh Lr. Sehat, Kec. Lueng Bata",0,3,0,8,26,4,21,3,ACEH
5.54895,95.326622,BAITURRAHMAN,P1171020201,"Jl. Belibis Lr. Adam No. 6 Lingk Labui, Kec. Baiturrahman",0,2,0,11,28,6,16,1,ACEH
5.525793,95.321594,BANDA RAYA,P1171012201,"Jl. Tgk. Abd. Di Lhong I, Kec. Banda Raya",0,2,1,9,31,4,19,2,ACEH
5.53365,95.287582,JAYA BARU,P1171011201,"Jl. Tgk Abd Rahman, Kec. Jaya Baru",0,2,0,8,25,2,9,1,ACEH
5.541721,95.29554,MEURAXA,P1171010201,"Jl. Sultan Iskandar Muda, Kec. Meuraxa",0,2,1,8,23,2,6,1,ACEH
4.407697,98.177971,BANDAR BARU,P1118080101,"Jl. Medan - Banda Aceh Km 132, Kec. Bandar Baru",0,6,1,49,54,2,29,9,ACEH
3.617764,96.915359,PANTE RAJA,P1118070201,"Jl. Banda Aceh - Medan Gampong TU, Kec. Panteraja",0,3,1,14,23,8,29,7,ACEH
5.193341,96.870476,TRIENGGADENG,P1118060101,Kec. Trienggadeng,0,3,1,38,39,2,27,5,ACEH
5.233461,96.298279,ULIM,P1118050201,Kec. Ulim,0,2,0,18,32,4,21,2,ACEH
5.222511,96.319992,JANGKA BUYA,P1118040101,"Jl. Rel Kereta Api, Kec. Jangka Buya",0,3,1,19,16,4,18,3,ACEH
5.20482,96.340858,KUTA KRUENG,P1118030202,"Ds. Kuta Krueng, Kec. Bandar Dua",0,3,0,14,22,0,21,4,ACEH
5.198137,96.317902,BANDAR DUA,P1118030101,"Ds. Ulee Gle, Kec. Bandar Dua",0,3,1,29,33,4,9,4,ACEH
5.244953,96.264503,MEURAH DUA,P1118020201,"Ds. Dayah Bee, Kec. Meurah Dua",0,2,0,29,33,0,31,1,ACEH
5.252995,96.250092,MEUREUDU,P1118010101,Kec. Meureudu,0,6,1,21,44,4,34,5,ACEH
4.676543,97.274986,SAMAR KILANG,P1117060201,"Jl. Cemparam Jamur Atu Ds. Selamat Rejo, Kec. Syiah Utama",0,2,0,11,2,0,9,1,ACEH
4.758753,96.916656,BANDAR,P1117050101,"Jl. Pondok Baru - Takengon Ds. Pondok Baru, Kec. Bandar",0,2,0,18,5,2,10,0,ACEH
4.683785,96.834557,SIMPANG TERITIT,P1117040202,"Jl. Takengon - Bireuen Ds. Simpang Teritit, Kec. Wih Pesam",0,2,0,7,10,0,13,0,ACEH
4.736341,96.811523,PANTE RAYA,P1117040101,"Jl. Takengon - Bireuen, Kec. Wih Pesam",0,2,0,9,17,0,3,1,ACEH
4.724394,96.873581,SIMPANG TIGA,P1117030201,"Jl. Pondok Baru - Takengon, Kec. Bukit",0,3,0,11,12,2,16,2,ACEH
4.909732,96.734169,BLANG RAKAL,P1117020201,"Jl. Takengon - Bireuen Ds. Belang Rakal, Kec. Pintu Rime Gayo",0,1,0,13,6,0,5,0,ACEH
4.820453,96.741379,RONGA RONGA,P1117010202,"Jl. Takengon - Bireuen, Kec. Timang Gajah",0,1,1,11,12,2,18,0,ACEH
4.762173,96.773872,LAMPAHAN,P1117010101,"Jl. Takengon - Bireuen Ds. Lampahan, Kec. Timang Gajah",0,4,0,15,8,0,12,2,ACEH
5.110529,95.363876,LAMNO,P1116060101,"Ds. Gle Putoh, Kec. Jaya",0,4,0,34,40,8,17,3,ACEH
4.720614,95.522469,LAGEUN,P1116040201,"Ds. Lhok Geulumpang, Kec Setia Bakti",0,1,0,22,13,2,22,2,ACEH
4.644421,95.591789,CALANG,P1116030202,"Kampung Blang, Kec. Krueng Sabee",0,4,1,17,13,5,23,6,ACEH
4.628414,95.672073,KRUENG SABEE,P1116030201,"Ds. Paya Seumantok, Kec. Krueng Sabee",0,3,0,22,14,4,17,4,ACEH
5.633062,95.067245,TEUNOM,P1116010101,"Ds. Tanoh Mayang, Kec. Teunom",0,3,1,36,41,6,13,4,ACEH
5.219379,96.719635,COT KUTA,P1115040202,"Jl. Nasional MBO-Jeuram, Kec. Seunagan",0,1,0,13,25,2,7,6,ACEH
4.232369,96.306877,JEURAM,P1115040101,"Jl. Kesehatan No.2, Kec. Seunagan",0,4,1,33,30,2,8,12,ACEH
4.470661,96.510544,BEUTONG ATEUH,P1115030202,"Beutong Ateuh, Kec. Beutong",0,0,0,4,4,0,0,5,ACEH
3.046724,97.575928,BEUTONG,P1115030101,"Lhok Seumot, Kec.Beutong",0,3,1,24,30,0,5,12,ACEH
4.143009,96.37632,SIMPANG JAYA,P1115022201,"Jl. MBO-Tpk Tuan, Kec. Tadu Raya",0,3,1,15,22,4,7,8,ACEH
4.075812,96.223808,PADANG RUBEK,P1115021202,"Ds. Padang Rubek, Kec. Kuala Pesisir",0,2,0,10,14,2,0,4,ACEH
4.121766,96.321632,UJONG FATIHAH,P1115020201,"Ds. Blang Muko, Kec. Kuala",0,2,1,16,23,2,11,9,ACEH
4.027685,96.683723,ALUE RAMBOT,P1115010204,"Ds. Aloe Rambot, Kec. Darul Makmur",0,1,0,8,12,1,5,1,ACEH
3.914324,96.412697,LUENG KEBEU JAGAD,P1115010203,"Ds. Lueng Kebeu Jagad, Kec. Darul Makmur",0,1,0,9,15,2,0,5,ACEH
3.949647,96.531425,SUKA MULYA,P1115010202,"Jl. Seuneuam, Kec. Darul Makmur",0,2,0,13,19,2,6,5,ACEH
4.03788,96.485825,ALUE BILIE,P1115010101,"Jl. Erwin Ibrahim, Kec. Darul Makmur",0,5,1,22,23,2,7,9,ACEH
4.404349,98.07505,MANYAK PAYED,P1114080101,"Jl. Medan Banda Aceh Tualang Cut, Kec. Manyak Payed",0,4,1,31,47,4,9,10,ACEH
4.271445,98.016243,SEKERAK,P1114071201,"Ds. Sekerak Kanan, Kec. Sekerak",0,2,0,21,24,4,9,5,ACEH
4.328549,98.072212,KARANG BARU,P1114070201,"Jl. Medan Banda Aceh Ds. Pahlawan, Kec. Karang Baru",0,4,1,28,48,2,13,7,ACEH
4.431741,98.14679,BANDA MULIA,P1114061201,"Ds. Telaga Meuku I, Kec. Banda Mulia",0,3,0,19,27,0,9,7,ACEH
4.377992,98.102486,BENDAHARA,P1114060201,"Ds. Upah, Kec. Bendahara",0,2,1,17,27,3,11,6,ACEH
4.40195,98.141388,SUNGAI IYU,P1114060102,"Jl. Pekan Sungai Iyu, Kec. Bendahara",0,3,3,18,27,2,8,7,ACEH
4.344735,98.151176,SERUWAY,P1114050101,"Jl. Temenggong No.85, Kec. Seruway",0,5,1,26,43,1,9,9,ACEH
4.291061,98.059685,KUALA SIMPANG,P1114040201,"Ds. Kota Lintang, Kec. Kota Kuala Simpang",0,3,2,20,22,2,9,7,ACEH
4.317764,98.110992,RANTAU,P1114030202,"Ds. Alur Cucur, Kec. Rantau",0,3,2,26,25,2,5,10,ACEH
4.271128,98.122833,SAPTA JAYA,P1114030201,"Ds. Suka Mulia, Kec. Rantau",0,1,1,19,14,2,4,5,ACEH
4.12821,97.989769,KEJURUAN MUDA,P1114020201,"Jl. Medan - Banda Aceh Sungai Liput, Kec. Kejuruan Muda",0,6,0,27,33,1,10,10,ACEH
4.276763,97.871544,BANDAR PUSAKA,P1114011201,"Ds. Babo, Kec. Bandar Pusaka",0,1,0,15,21,0,4,0,ACEH
4.181773,97.942451,TAMIANG HULU,P1114010101,"Jl. Alur Jambu No. 1 Pulo Tiga, Kec. Tamiang Hulu",0,3,1,17,22,4,7,9,ACEH
3.994724,97.340256,BLANGKEJEREN,P1113020101,"Jl. Kuta Panjang No.7, Kec. Blangkejeren",0,4,1,15,27,10,0,0,ACEH
3.168332,97.337257,IE MIRAH,P1112060202,"Ds. Ie Merah, Kec. Babah Rot",0,2,0,6,4,0,4,1,ACEH
4.135826,96.468216,BABAH ROT,P1112060201,"Ds. Pantee Rakyat, Kec. Babah Rot",0,2,0,15,22,0,3,2,ACEH
3.77986,96.793602,ALUE PISANG,P1112050202,"Ds. Alue Pisang, Kec. Kuala Batee",0,3,0,18,14,0,13,2,ACEH
3.800958,96.752129,KUALA BATEE,P1112050101,"Ds. Blang Makmur, Kec. Kuala Batee",0,4,0,15,16,0,17,3,ACEH
3.708913,96.839417,SANGKALAN,P1112040202,"Ds. Padang Panjang, Kec. Susoh",0,2,0,15,17,2,13,2,ACEH
3.726184,96.810783,SUSOH,P1112040201,"Ds. Padang Baru, Kec. Susoh",0,2,0,19,33,2,8,1,ACEH
3.77811,96.813698,ALUE SUNGAI PINANG,P1112031201,"Ds. AS Pinang, Kec. Jeumpa",0,1,0,11,19,0,6,4,ACEH
3.701765,96.876617,LHANG,P1112021201,"Ds. Lhang, Kec. Setia",0,1,1,12,17,0,10,1,ACEH
3.683198,96.894188,TANGAN-TANGAN,P1112020201,"Ds. Le Lhop, Kec. Tangan-tangan",0,1,0,12,10,0,5,2,ACEH
3.599269,96.945503,LEMBAH SABIL,P1112011201,"Ds. Meunasah Tengah, Kec. Lembah Sabil",0,2,0,12,27,0,13,1,ACEH
3.611581,96.933243,MANGGENG,P1112010101,"Ds. Keudai, Kec. Manggeng",0,2,1,22,36,2,14,3,ACEH
5.246262,97.024811,DEWANTARA,P1111170201,"Jl. Kesehatan Krueng Geukeuh, Kec. Dewantara",0,4,1,22,46,3,44,8,ACEH
5.24486,96.913521,MUARA BATU,P1111160101,"Ds. Krueng Mane, Kec. Muara Batu",0,3,1,35,42,6,36,3,ACEH
4.183716,96.129906,LAPANG,P1111151201,"Jl. Lapng Kuala Cangkoy, Kec. Lapang",0,0,1,12,17,6,10,2,ACEH
5.141521,97.263771,TANAH PASIR,P1111150101,"Ds. Jrat Manyang, Kec. Tanah Pasir",0,1,1,18,30,6,8,2,ACEH
5.09365,97.25074,SYAMTALIRA ARON,P1111140201,"Jl. Banda Aceh - Medan Km 292, Kec. Syamtalira Aron",0,3,0,27,42,3,31,2,ACEH
5.132262,97.21656,SAMUDERA,P1111130201,"Jl. Raya Banda Aceh - Medan, Kec. Samudera",0,3,1,22,60,3,23,4,ACEH
5.059244,97.201736,NIBONG,P1111121201,"Jl. Simpang Paya Leubok, Kec. Nibong",0,2,0,11,26,3,6,0,ACEH
5.070464,97.265572,TANAH LUAS,P1111120101,"JL. Tgk Dibalee, Kec. Tanah Luas",0,2,0,21,43,0,8,4,ACEH
4.985927,97.417435,BUKET HAGU,P1111110202,"Ds. Buket Hagu, Kec. Lhoksukon",0,2,0,6,21,3,6,4,ACEH
5.041519,97.322296,LHOKSUKON,P1111110101,"Jl. Diponegoro No. 1, Kec. Lhoksukon",0,4,1,23,18,2,33,7,ACEH
5.119851,97.365303,SAMPOINIET,P1111101201,"Jl. Medan - Banda Aceh, Kec. Baktiya Barat",0,1,0,10,27,6,12,3,ACEH
5.13218,97.407326,BAKTIYA,P1111100101,"Ds. Kd. Sawang, Kec. Baktiya",0,2,0,17,40,3,10,3,ACEH
4.957488,97.778481,BLANG GEULUMPANG,P1111090202,Kec. Seunudon,0,13,0,4,14,3,8,0,ACEH
5.179759,97.397377,SEUNUDON,P1111090101,Kec. Seunudon,0,4,0,16,28,3,16,1,ACEH
4.948263,97.467178,LANGKAHAN,P1111081201,Kec. Langkahan,0,5,0,10,25,0,11,1,ACEH
5.116079,97.459038,TANAH JAMBO AYE,P1111080101,"Ds. Kd. Mtg Panyang, Kec. Tanah Jambo Aye",0,3,0,26,51,6,17,3,ACEH
4.911045,97.370087,COT GIREK,P1111070201,"Jl. Lhoksukon - Cot Girek Km XI, Kec. Cot Girek",0,3,0,11,32,0,11,2,ACEH
4.996869,97.62896,PAYA BAKONG,P1111061201,"Jl. Tkg Chik Paya Bakong, Kec. Paya Bakong",0,5,1,12,35,3,12,3,ACEH
5.011469,97.266258,MATANGKULI,P1111060101,"Jl. Masjid, Kec. Matangkuli",0,4,1,6,92,0,21,5,ACEH
5.059244,97.201736,MEURAH MULIA,P1111050101,"Jl. Irigasi Ds. Nibong, Kec. Meurah Mulia",0,3,0,22,53,0,4,6,ACEH
5.02922,97.146294,GEUREUDONG PASE,P1111041201,"Jl. Geuredong Pase Km 20, Kec. Geureudong Pase",0,3,1,10,15,0,12,3,ACEH
5.117863,97.190643,SYAMTALIRA BAYU,P1111040101,"Keude Bayu, Kec. Syamtalira Bayu",0,5,1,34,53,3,20,5,ACEH
5.053233,97.110321,SIMPANG KRAMAT,P1111031201,"Jl. Cot Sahid Transad, Kec. Simpang Keramat",0,4,0,12,39,0,7,9,ACEH
3.755044,96.796608,KUTA MAKMUR,P1111030101,"Jl. Buloh Balng Arah Km 12.5, Kec. Kuta Makmur",0,3,1,21,78,0,16,5,ACEH
5.186417,96.961662,BANDA BARO,P1111022201,"Jl. Kertas Kraft Aceh Km 6.5,  Kec. Banda Baro",0,3,0,5,32,3,12,1,ACEH
5.177401,97.006027,NISAM,P1111020101,"Jl. Keude Nisam, Kec. Nisam",0,6,1,30,37,6,22,0,ACEH
5.098927,96.900818,SAWANG,P1111010101,"Ds. Keude Sawang, Kec. Sawang",0,5,2,47,52,3,21,2,ACEH
5.183138,97.136459,KUTA BLANG,P1110101101,"Jl. Banda Aceh-Medan Km.350 Ds. Tingkeum Manyang, Kec. Kuta Blang",0,4,0,34,56,3,17,4,ACEH
4.603936,96.692253,MAKMUR,P1110090101,"Jl. Banda Aceh-Medan Sp.Leubu Ds.Ullee Gle Km.15, Kec. Makmur",0,3,0,5,34,0,8,6,ACEH
5.022402,96.779015,PEUSANGAN SELATAN,P1110081101,"Jl. Almuslem Km.12 Ds.Uteun Gathom, Kec. Peusangan Selatan",0,1,1,25,38,0,11,5,ACEH
5.196709,96.787491,PEUSANGAN,P1110080101,"Jl. Medan-Banda Aceh Ds. Blg Hasan Mantang Glp 2, Kec. Peusangan",0,5,1,44,81,4,27,7,ACEH
5.256061,96.780113,JANGKA,P1110070101,"Jl. Puskesmas No.2 Ds. Jangka, Kec. Jangka",0,4,0,18,69,1,11,6,ACEH
5.054929,95.357887,KUALA ,P1110062201,"Jl. Bireun-Lancok Ds. Cot Batee, Kec. Kuala",0,4,0,17,37,6,12,0,ACEH
5.196406,96.726105,KOTA JUANG,P1110061201,"Jl. Banda Aceh-Medan Sp.Buket Teukeuh Ds.Blang Reuling,Kec. Kota Juang",0,3,1,20,45,4,7,4,ACEH
5.37594,95.92157,JEUMPA,P1110060101,"Jl. Banda Aceh-Medan Km.4 Ds. Blancot Tunong,Kec. Jeumpa",0,3,1,36,57,0,7,5,ACEH
5.164262,96.701004,JULI-2,P1110050202,Kec. Juli,0,2,1,12,21,0,10,1,ACEH
5.199798,96.591888,PEUDADA,P1110040101,"Jl. Medan - Banda Aceh Ds. Mns Pulo, Kec. Peudada",0,3,0,28,58,2,2,3,ACEH
5.186477,96.531822,PEULIMBANG,P1110031201,Kec. Peulimbang,0,2,0,31,24,0,10,1,ACEH
5.189406,96.50631,JEUNIEB,P1110030101,"Jl. Medan - Banda Aceh Ds. Blang Me Timur, Kec. Jeunieb",0,4,0,41,41,4,9,0,ACEH
5.182539,96.461754,PANDRAH,P1110020201,"Jl. Banda Aceh-Medan Km.190 Ds. Alue Le Geuh, Kec. Pandrah",0,2,0,26,27,2,12,1,ACEH
5.176152,96.419197,SIMPANG MAMPLAM,P1110011101,"Jl. Medan - Banda Aceh Ds.Mns Mamplam No.8,Kec.Simpang Mamplam",0,4,0,34,45,1,13,6,ACEH
5.205719,96.376236,SAMALANGA,P1110010101,"Jl. Harapan No. 6 Ds. Keude, Kec. Samalanga",0,3,1,29,50,4,10,7,ACEH
5.50769,95.863914,MUARA TIGA,P1109230101,"Jl. Simpang Beutong - Laweung, Kec. Muara Tiga",0,2,0,10,19,2,8,4,ACEH
5.389714,95.903099,BATEE,P1109220201,"Jl. Krueng Raya - Tibang Km.4,5 , Kec. Batee",0,1,0,15,29,2,20,4,ACEH
5.383608,95.93631,PIDIE,P1109210201,"Jl. Sigli - Garot Gampong Barat Ds. Gampong Barat, Kec. Pidie",0,2,0,25,73,4,42,4,ACEH
5.360982,95.940804,KOTA SIGLI,P1109200201,"Jl. Kesehatan No.2, Kec. Kota Sigli",0,2,0,23,21,2,35,6,ACEH
5.308898,95.980392,SIMPANG TIGA,P1109190201,"Jl. Sigli - Kembang Tanjong, Kec. Simpang Tiga",0,2,0,22,50,2,35,3,ACEH
5.304107,96.016884,KEMBANG TANJONG,P1109180101,"Jl. Kembang Tanjong Km.12, Kec. Kembang Tanjong",0,2,0,36,46,4,42,18,ACEH
5.398783,95.940704,PEUKAN BARO,P1109170201,"Jl. Banda Aceh - Medan Km.121 Ds. Lampoih Saka, Kec. Peukan Baro",0,2,0,19,49,4,59,4,ACEH
5.319851,95.945259,INDRAJAYA,P1109160201,"Jl. Caleuue - Garot Ds. Ulee Birah, Kec. Indrajaya",0,2,0,23,36,0,38,7,ACEH
4.991959,97.710632,GRONG-GRONG,P1109151201,"Jl. Grong-Grong - Reubee No.18 Ds. Grong-Grong, Kec. Grong-grong",0,1,1,22,24,0,32,5,ACEH
5.339003,95.922691,DELIMA,P1109150101,"Jl. Gp. Aree - Mila Kp. Aree, Kec. Delima",0,1,0,14,18,0,32,2,ACEH
5.382907,95.835609,PADANG TIJI,P1109140101,"Jl. Teungku Panglima Polem No.6, Kec. Padang Tiji",0,1,0,19,43,0,30,2,ACEH
5.302209,95.918404,MILA,P1109130201,"Jl. Jabal Ghafur Ds. Lagang, Kec. Mila",0,2,0,9,26,4,28,6,ACEH
5.254187,95.940292,SAKTI,P1109120101,"Jl. Tangse No.3 Kota Bakti, Kec. Sakti",0,1,1,28,44,0,61,9,ACEH
5.014112,95.913094,TANGSE,P1109100101,"Jl. Beureununen - Meulaboh Km.46, Kec. Tangse",0,1,0,17,18,0,30,7,ACEH
5.15826,95.935562,TIRO,P1109090201,"Jl. Pintu Satu, Kec. Tiro",0,1,0,21,23,0,36,3,ACEH
4.929652,95.641701,UJONG RIMBA,P1109081201,"Jl. Blang Malu - Didoh No.3, Kec. Mutiara Timur",0,1,0,9,33,0,30,6,ACEH
5.271372,95.942886,MUTIARA BARAT,P1109080202,"Jl. Dayah Babul Mu'arif, Kec. Mutiara",0,2,0,16,30,2,26,3,ACEH
5.285535,95.992004,MUTIARA TIMUR,P1109080201,"Jl. Banda Aceh - Medan Km.125,5, Kec. Mutiara",0,1,0,20,23,0,24,7,ACEH
5.271468,96.022758,GLUMPANG BARO,P1109071201,"Jl. Tgk. Syik Di Trueng Campli No.4, Kec. Glumpang Baro",0,1,0,18,22,0,21,1,ACEH
5.254639,96.045387,TEUPIEN RAYA,P1109070202,"Jl. Banda Aceh - Medan, Kec. Glumpang Tiga",0,1,0,20,23,0,38,2,ACEH
5.268075,96.04229,GLUMPANG TIGA,P1109070201,"Jl. Banda Aceh - Medan, Kec. Glumpang Tiga",0,1,0,22,17,2,25,4,ACEH
4.886495,96.08062,MANE,P1109011201,"Jl. Tangse - Geumpang, Kec. Mane",0,1,0,11,6,0,11,2,ACEH
4.860329,96.207115,GEUMPANG,P1109010101,"Jl. Geumpang - Tutut, Kec. Geumpang",0,1,0,10,8,2,17,1,ACEH
5.680258,95.120712,PULO ACEH,P1108130101,"Ds. Lampuyang Pulau Breuh, Kec. Pulo Aceh",0,4,0,11,13,0,8,0,ACEH
5.514312,95.274361,LAMPISANG,P1108120102,"Jl. B.Aceh - Meulaboh Ds. Lampisang, Kec. Peukan Bada",0,2,1,13,26,4,14,2,ACEH
5.52894,95.252701,PEUKAN BADA,P1108120101,"Jl. Mesjid Tgk Chik Maharaja Gurah No.3, Kec. Peukan Bada",0,3,1,19,33,8,24,3,ACEH
5.451832,95.328812,DARUL IMARAH,P1108110101,"Jl. Elak Biluy, Kec. Darul Imarah",0,2,1,19,67,4,30,3,ACEH
3.195663,97.341042,SIMPANG TIGA,P1108102201,"Jl. T.Fakinah Ds. Krueng Mak, Kec. Simpang Tiga",0,3,0,11,33,0,18,1,ACEH
5.469968,95.383575,SUKAMAKMUR,P1108100101,"Jl. B.Aceh - Medan KM.16,5 Sibreh, Kec. Suka Makmur",0,3,1,17,51,4,19,0,ACEH
5.528834,95.799187,INGIN JAYA,P1108090101,"Jl. B.Aceh - Medan KM. 5,5, Kec. Ingin Jaya",0,3,1,9,74,10,20,6,ACEH
4.090871,96.308586,BLANG BINTANG,P1108081101,"Ds. Kampong Blang Jl. Sultan Iskandar Muda, Kec. Blang Bintang",0,3,0,18,39,4,20,3,ACEH
5.48397,95.403511,MONTASIK,P1108080101,"Jl. Ayahanda Tgk Syekh Ibrahim Montasik, Kec. Montasik",0,4,1,18,53,2,25,1,ACEH
4.885765,97.821884,KUTA BARO,P1108070101,"Jl. Blang Bintang Lama KM.10,5 Peukan Ateuk, Kec. Kuta Baro",0,3,1,18,66,2,18,2,ACEH
5.591978,95.36013,BAITUSSALAM,P1108061101,"Jl. Laksanamana Malahayati KM.10,5 , Kec.Baitussalam",0,2,0,18,28,4,19,2,ACEH
5.120271,96.987823,DARUSSALAM,P1108060101,"Jl. Lambaro Angan, Kec. Darussalam",0,2,1,10,58,2,26,1,ACEH
5.593687,95.5168,MESJID RAYA,P1108050101,"Jl.Laksamana Malahayati Ds.Meunasah Kede Krungraya,Kec.Mesjid Raya",0,3,1,9,26,2,10,3,ACEH
5.472413,95.714706,LEMBAH SEULAWAH,P1108042101,"Gampong Aceh Sukadamai, Saree, Kec. Lembah Seulawah",0,4,1,11,31,0,11,1,ACEH
5.245532,95.615013,KOTA JANTHO,P1108041101,"Jl. Teureubeh Kota Jantho, Kec. Kota Jantho",0,3,0,13,19,6,10,0,ACEH
5.442038,95.601585,LAMTEUBA,P1108040102,"Ds. Lamteuba Droe, Kec. Seulimeum",0,4,1,3,10,0,2,0,ACEH
5.364999,95.575386,SEULIMEUM,P1108040101,"Jl. B.Aceh - Medan Km.42 Ds. Seunebok, Kec. Seulimeum",0,4,0,10,35,4,11,2,ACEH
5.401575,95.505669,KUTA COT GLIE,P1108031101,"Jl. B.Aceh - Medan Km.36, Ds. Lampakuk, Kec. Kuta  Cot Glie",0,4,0,14,35,2,18,2,ACEH
5.418591,95.448204,INDRAPURI,P1108030101,"Jl. B.Aceh- Medan Km.25, Kec. Indrapuri",0,5,1,16,61,2,18,4,ACEH
5.343174,95.24382,LEUPUNG,P1108021101,"Jl. B.Aceh - Meulaboh Km.30, Kec. Leupung",0,3,1,9,11,2,7,1,ACEH
5.435183,95.277725,LHOKNGA,P1108020101,"Ds. Mon Iken, Kec. Lhoknga",0,3,1,13,40,4,18,4,ACEH
5.257189,95.247719,LHOONG,P1108010101,"Jl. B.Aceh - Meulaboh Km.54, Kec. Lhoong",0,4,1,14,29,2,5,1,ACEH
4.144714,96.153442,MEUREUBO,P1107081201,"Jl. Nasional Ds. Ujung Tanjung, Kec. Meureubo",0,1,0,22,40,7,14,6,ACEH
4.279809,96.246597,PEUREUMEU ,P1107080101,"Jl. Meulaboh Tutul, Kec. Kaway XVI",0,3,0,16,32,7,9,4,ACEH
4.314827,95.964729,DRIEN RAMPAK,P1107062201,"Jl. Meulaboh - Banda Aceh, Kec. Arongan Lambalek",0,2,1,7,10,3,5,2,ACEH
4.15692,96.11113,SUAK RIBEE,P1107050202,"Jl. Kuta Paya Suak Ribee Meulaboh, Kec. Johan Pahlawan",0,1,1,22,33,3,9,3,ACEH
